name,address,office_phone,home_phone,website,zipcode,total_population,median_income,pop_18_30
Enfield Farmers Market,"Whitfield Street Enfield, NC 27823 HALIFAX County",,(252) 445-1031,,27823,7950.0,31836.0,1461.0
Eno River Farmers' Market,"144 E. Margaret Lane Hillsborough, NC 27278 Orange County |",,,http://www.enoriverfarmersmarket.com,27278,26884.0,76152.0,3140.0
Erwin Farmers Market,"100 13th Street Erwin, NC 28339 HARNETT County",(910) 897-5428,,,28339,7432.0,42336.0,1165.0
Evening Farmers Market,"Pecan Park Statesville, NC 28677 Iredell County",(704) 873-3361,,http://www.theeveningfarmersmarket.com,28677,34703.0,45573.0,4867.0
Farm Fresh MarketPlace,"3402 South Main Street Salisbury, NC 28147 ROWAN County",(704) 754-5334,,http://www.MyFarmFresh.com,28147,23495.0,46927.0,3358.0
Farmer's Fresh Tailgate Market,"146 N. Main Street Rutherfordton, NC 28139 Rutherford County",(828) 288-1650,(828) 429-2497,http://www.farmersfreshmarket.org,28139,20467.0,47138.0,2645.0
Farmers Cooperative Livestock & Flea Market,"366 Livestock Market Road Lexington, NC 27292 Davidson County",(336) 248-2173,(336) 248-5208,,27292,39360.0,42169.0,5995.0
Farmington Farmers Market,"1723 Farmington Road Mocksville, NC 27028 DAVIE County",(336) 998-2912,,http://www.farmingtoncc.org,27028,26465.0,50399.0,3543.0
Fayetteville Farmers Market,"205 Forsythe Street Fayetteville, NC 28303 CUMBERLAND County |",,,http://www.facebook.com/FayettevilleFarmersMarket,28303,29888.0,40840.0,6592.0
Fearington Farmers Market,"2000 Fearington Village Pittsboro, NC 27312 Chatham County",(919) 542-8202,,http://www.ces.ncsu.edu/chatham/ag/SustAg/markets/geninfo,27312,20508.0,74698.0,2088.0
Foothills Farmers' Market,"111 S. Washington Street Shelby, NC 28150 CLEVELAND County",(704) 482-4365,,http://foothillsfarmersmarket.com,28150,26965.0,38740.0,3259.0
Franklin County Farmers Market,"103 S. Bickett Blvd. Louisburg, NC 27549 Franklin County",(919) 496-3344,,,27549,26716.0,50762.0,3834.0
Franklin Farmers Tailgate Market,"200 East Palmer Franklin, NC 28734 MACON County",(828) 369-3182,,http://www.buyappalachian.org/franklin.tailgate.market,28734,27887.0,43254.0,3233.0
Fuquay-Varina Growers Market,"121 N Main St Fuquay-Varina, NC 27526 WAKE County",(919) 213-1915,,http://www.fvgrowersmarket.com,27526,48581.0,79593.0,5910.0
Gastonia Farmers Market,"410 E. Long Avenue Gastonia, NC 28054 Gaston County",(704) 853-0049,,,28054,37876.0,45856.0,5589.0
Gates County Farmers Market,"788 NC Highway 37 North Gates, NC 27937 GATES County",(252) 357-1867,,,27937,4448.0,53487.0,632.0
Get Right Farmers Market LLC,"3487 Old River Road Greenville, NC 27834 PITT County",(252) 258-0644,,http://www.getrightfarmersmarket.com,27834,57258.0,39042.0,12931.0
Goldston Growers' Market,"400 Bellevue Street Goldston, NC 27252 CHATHAM County",(919) 548-3458,(919) 898-0405,http://www.goldstongrowersmarket.com,27252,1669.0,50680.0,133.0
Graham County Farmers Market,"Main Street Robbinsville, NC 28771 GRAHAM County",(828) 479-8788,,http://www.smnpa.org,28771,8069.0,37437.0,1031.0
Greensboro Curb Market,"501 Yanceyville Street Greensboro, NC 27405 Guilford County",(336) 373-2402,,http://www.greensboro-nc.gov/departments/parks/facilities,27405,48879.0,37528.0,7407.0
Greensboro Downtown Farm Market - CSA Mkt,"505 N. Greene Street Greensboro, NC 27401 GUILFORD County",(336) 210-1947,,http://www.localharvest.org/farmers-markets/M33306,27401,23388.0,34274.0,9129.0
Greensboro Farmers Curb Market,"501 Yanceyville St Greensboro, NC 27402 GUILFORD County",(336) 373-2402,,http://GSOFarmersMarket.Org,27402,,,
Growers Guild Market of Cape Fear Valley,"Village Drive at Fargo Drive Fayetteville, NC 28304 Cumberland County",(910) 615-6971,,,28304,36682.0,48927.0,6585.0
Growers Market of Fuquay-Varina,"102 N. Main Street Fuquay-Varina, NC 27526 WAKE County",(919) 552-0848,,http://www.Growers-Market.org,27526,48581.0,79593.0,5910.0
Haliwa-Saponi Indian Tribe,"39021 Hwy 561 Hollister, NC 27844 HALIFAX County",(252) 586-T240,,,39021,,,
Harbor District Market,"140 W. Main Street Washington, NC 27889 Beaufort County",(252) 947-1487,,http://www.harbordistrictmarket.org,27889,26637.0,41699.0,3465.0
Hayesville Evening Market,"30 Main Street Hayesville, NC 28904 CLAY County",(828) 389-6305,,http://www.hayesvilleeveningmarket.com,28904,8969.0,42477.0,894.0
Haywood's Historic Farmers Market,"250 Pigeon Street Waynesville, NC 28785 Haywood County",,(828) 627-3469,http://www.waynesvillefarmersmarket.com,28785,7953.0,61250.0,991.0
Healthy Harvest Farmer's Market,"612 Mocksville Avenue Salisbury, NC 28144 ROWAN County",(704) 210-5201,,,28144,24858.0,43701.0,5015.0
Henderson County Tailgate Market,"100 North King Street Hendersonville, NC 28739 HENDERSON County",(828) 693-7265,,http://www.buyappalachian.org/listing/henderson-county-ta,28739,21492.0,57405.0,2076.0
Hendersonville Community Co-op,"715 South Groves Street Hendersonville, NC 28792 HENDERSON County",(828) 693-8557,,http://www.hendersonville.coop,28792,34703.0,49130.0,4245.0
High Point Farmers Market,"901 N. Main Street High Point, NC 27262 GUILFORD County",(336) 689-4463,,http://https://www.highpointnc.gov/1753/High-Point-Farmers-Market,27262,24510.0,42708.0,5376.0
Highlands Farmers Market,"545 Pierson Drive Highlands, NC 28741 MACON County",(828) 526-4858,,,28741,3672.0,64375.0,299.0
Hildebran Farmers Market,"202 South Center Street Hildebran, NC 28637 BURKE County",(828) 397-5801,,http://www.hildebrannc.com,28637,1692.0,38523.0,201.0
Hillsborough Farmers Market,"NC 86 & I-85 Hillsborough, NC 27278 Orange County |",,,http://www.hillsboroughfarmersmarket.org,27278,26884.0,76152.0,3140.0
Hillsdale Farmer's Market,"1000 Hwy 150 W Summerfield, NC 27358 GUILFORD County",,,,27358,15028.0,89744.0,1619.0
Historic Marion Tailgate Market,"67 W. Henderson Street Marion, NC 28752 MCDOWELL County",(828) 652-2215,,http://www.hometownmarion.com,28752,30924.0,45339.0,4266.0
Hoke County Farmers Market,"Main Street Raeford, NC 28376 HOKE County",(910) 875-3461,,,28376,44967.0,49667.0,7885.0
Holly Springs Farmers Market,"300 West Ballentine Street Holly Springs, NC 27540 Wake County |",,,http://www.HSFarmersMarket.com,27540,39675.0,109404.0,4216.0
Honey Do Farmers Market,"860 Old Charlotte Road Concord, NC 28027 CABARRUS County",(704) 425-0137,,,28027,68716.0,76776.0,9239.0
Indian Trail Farmers Market,"100 Navajo Trail Indian Trail, NC 28079 UNION County",(704) 821-5401,,http://www.indiantrail.org,28079,37694.0,82273.0,5349.0
Jackson County Farmers Market,"Railroad Ave. Sylva, NC 28779 JACKSON County",,,,28779,18477.0,55522.0,2380.0
Johnston County Farmers Market & Craft Center,"1410 S. Brightleaf Blvd. Smithfield, NC 27577 Johnston County",(919) 938-3300,,,27577,26875.0,48084.0,4309.0
Jones County Farmers Market,"Hwy 58 South, Jones County Civic Center Trenton, NC 28585 JONES County",(252) 448-7571,,,28585,3958.0,31121.0,552.0
Joseph Community Farmer's Market,"2305 Neuse Blvd. New Bern, NC 28560 CRAVEN County",(252) 633-1624,,http://http://www.peletahministries.com/genesis-457-cdc/,28560,27458.0,48134.0,3859.0
Kannapolis Farmers Market,"401 Laureate Way Kannapolis, NC 28081 CABARRUS County",(704) 920-4326,,http://www.kannapolisnc.gov/farmersmarket,28081,28116.0,51339.0,4259.0
Kernersville Farmers Market,"134 E. Mountain Street Kernersville, NC 27284 FORSYTH County",(336) 240-1421,,,27284,55489.0,62588.0,6962.0
King Farmers Market,"105 Moore Road King, NC 27021 Stokes County",(336) 983-9636,,,27021,17489.0,53466.0,2303.0
Kinston-Lenoir County Farmers Market,"100 N. Herritage Street Kinston, NC 28501 LENOIR County",(252) 527-2191,,,28501,17772.0,29414.0,2208.0
Knightdale Farmers' Market,"810 N. First Ave. Knightdale, NC 27545 WAKE County",(919) 217-2234,,http://http://www.knightdalenc.gov/index.aspx?page=287,27545,28676.0,63103.0,4364.0
Lake Lure Market,"Memorial Hwy. Lake Lure, NC 28746 RUTHERFORD County",,,,28746,2420.0,58385.0,142.0
Lenoir Downtown Farmers Market,"385 Harper Ave. Lenoir, NC 28645 CALDWELL County",(828) 221-4935,,,28645,46232.0,40621.0,6682.0
Lexington Farmers Market,"29 Railroad Street Lexington, NC 27292 Davidson County",(336) 242-2080,,,27292,39360.0,42169.0,5995.0
Lincoln County Farmers Market at Denver,"3633 Hwy 16 North Denver , NC 28037 Lincoln County",(704) 736-8461,,http://www.lincolncountyfarmersmarket.com,28037,20619.0,79689.0,2302.0
Lincoln County Farmers Market-Downtown Lincolnton,"225 West Water Street Lincolnton, NC 28092 Lincoln County",(704) 736-8461,,http://www.lincolncountyfarmersmarket.com,28092,40517.0,50267.0,6100.0
"Livingston Creek Farmers Harvest, LLC","49 Harvest Circle Bolton, NC 28423 COLUMBUS County",(910) 655-4333,,http://www.Livingstoncreek.com,28423,2421.0,40734.0,342.0
Locust Farmers? Market,"186 Ray Kennedy Drive Locust, NC 28097 CABARRUS County",(704) 888-5260,,http://locustnc.com,28097,6078.0,54505.0,770.0
Madison County Farmers and Artisans Market,"Hwy 213 Mars Hill Mars Hill, NC 28754 Madison County",(828) 649-2411,,,28754,10290.0,47477.0,2251.0
Maggie Valley Farmers Tailgate Market,"2701 Soco Road Maggie Valley, NC 28751 Haywood County",(828) 926-1686,,,28751,3473.0,50739.0,320.0
Manteo Farmers Market,"106 Fernando Street Manteo, NC 27954 DARE County",(252) 473-2133,,,27954,7938.0,51368.0,1027.0
Marion Tailgate Market,"67 W. Henderson Street Marion, NC 28752 MCDOWELL County",(828) 652-2215,,http://https://www.facebook.com/Marion-Tailgate-Market-230886653656751/?ref=hl,28752,30924.0,45339.0,4266.0
Market Square Farmer's Market,"303 S. Scales Street Reidsville, NC 27320 ROCKINGHAM County",(336) 349-1099,,http://www.ci.reidsville.nc.us,27320,38997.0,43017.0,5526.0
Martin County Farmer's Market,"4001 W. Main Street Ext. Williamston, NC 27892 Martin County",(252) 789-4370,,,27892,14217.0,41466.0,1942.0
Matthews Community Farmers' Market,"188 N. Trade Street Matthews, NC 28105 Mecklenburg County",(704) 488-4763,,http://www.matthewsfarmersmarket.com,28105,46180.0,78620.0,6891.0
Mebane Farmers Market,"Corner of Third & Clay Street Mebane, NC 27302 Alamance County",(919) 563-3555,,http://www.downtownmebane.com,27302,31280.0,62517.0,4083.0
Meeting Street Farmers Market,"252 Williamson Road Mooresville, NC 28117 IREDELL County",(704) 714-3088,,http://www.meetingstreetmarket.com,28117,40855.0,89189.0,5331.0
Midtown Farmers' Market,"4150 Main at North Hills Street Raleigh, NC 27609 Wake County |",,,http://midtownraleighfarmersmarket.com,27609,33575.0,62536.0,5350.0
Mills River Farmer's Market,"G&B Energy Plaza 5046 Boyleston Hwy Mills River , NC 28759 HENDERSON County",,,,28759,7456.0,66486.0,909.0
Mint Hill Farmers Market,"7601 Matthews Mint Hill Road Mint Hill, NC 28227 Mecklenburg County",(704) 545-3999,,http://www.minthillhistory.com/market.htm,28227,57336.0,59438.0,9169.0
Moore County Farmers Market,"PO Box 1149 Carthage, NC 28327 Moore County",(910) 947-3752,,,28327,17013.0,58261.0,2211.0
Morehead City Curb Market,"1300 Evans Street Morehead City, NC 28557 CARTERET County",(252) 222-6359,,http://carteret.ces.ncsu.edu/,28557,15298.0,55109.0,1780.0
Morganton Farmers Market,"300 Beach Street Morganton, NC 28655 BURKE County",(828) 438-5252,,http://www.downtownmorganton.com,28655,55009.0,43795.0,8206.0
Mount Airy Farmers' Market,"111 S. Main Street Mount Airy, NC 27030 SURRY County",(336) 401-8025,,,27030,35575.0,40723.0,5041.0
Mount Holly Farmers Market,"130 South Main Street Mount Holly, NC 28120 GASTON County",(704) 372-8666,(704) 822-0041,http://www.mounthollyfarmersmarket.com,28120,21582.0,61680.0,3354.0
Muffresboro Farm Market,"117 E. Main St. Muffresboro, NC 27855 HERTFORD County",,(757) 323-8807,http://www.mainstreetmurfreesboro.org/saturday-market/,27855,6066.0,37005.0,1449.0
Murchison Road Community Farmers Market,"1047 Murchison Road Fayetteville, NC 28301 CUMBERLAND County",(910) 672-2413,,,28301,16929.0,26667.0,3883.0
Nashville Farmers Market,"723 S Barnes Street Nashville, NC 27856 NASH County",(252) 532-9591,,http://www.townofnashville.com/our-town/farmers-market,27856,17258.0,59175.0,2573.0
New Bern Craven County Farmers Market,"421 South Front Street New Bern, NC 28560 Craven County",(252) 633-0043,,http://www.newbernfarmersmarket.org,28560,27458.0,48134.0,3859.0
Newell Farms Market,"1704 Rocky River Road Charlotte, NC 28213 MECKLENBURG County",(704) 578-1415,,http://www.newellfarmersmarket.com,28213,43099.0,45808.0,9534.0
North Asheville Tailgate Market,"88 Merrell Road Leicester, NC 28748 Buncombe County",(828) 648-3804,(828) 254-6199,,28748,12606.0,45164.0,1943.0
North End Farmers Market,"1701 N Graham Street Charlotte , NC 28206 MECKLENBURG County |",,,http://northendmarketclt.com,28206,12036.0,32232.0,2506.0
North Mecklenburg Farmers Market,"18121 Old Statesville Road Cornelius, NC 28031 Mecklenburg County",(704) 336-2561,,,18121,,,
North Raleigh Farmers Market,"1145 Falls River Avenue Raleigh, NC 27614 WAKE County",(919) 322-8166,,http://www.northraleighfarmersmarket.com,27614,32849.0,112500.0,3688.0
North Star Farmers Market,"PO Box 243 Ruffin, NC 27326 Rockingham County",(336) 939-3292,,,27326,2900.0,44909.0,270.0
Oakley Farmers Market,"607 Fairview Road Asheville, NC 28803 BUNCOMBE County",(828) 505-3079,,http://oakleyfarmersmarket.com,28803,34491.0,53023.0,5247.0
OBX Farmer's Market,"2424 S Croatan Hwy Nags Head, NC 27959 DARE County",(252) 480-5779,,,27959,2938.0,65565.0,255.0
Old Salem Cobblestone Farmers Market,"626 S. Main Street Winston Salem, NC 27101 FORSYTH County",,,,27101,19713.0,34477.0,4302.0
Olde Beaufort Farmers' Market,"300 Courthouse Square Beaufort, NC 28516 CARTERET County",(252) 564-8822,,http://beaufortfarmersmarket.com,28516,11455.0,50354.0,1415.0
Onslow County Farmers Market,"4024 Richlands Hwy Jacksonville, NC 28540 Onslow County",(910) 455-5873,,,28540,49144.0,48559.0,12425.0
Oxford Farmers Market,"6200 Hwy 96 Oxford, NC 27565 Granville County",,,,27565,25127.0,47295.0,3469.0
Pamlico County Farmers Market,"10628 NC 55 Hwy Grantsboro, NC 28529 PAMLICO County",(252) 745-1573,,http://pamlicohistory.com/farmers_market.html,10628,,,
Person County Community Market,"211 N. Main Street Roxboro, NC 27573 Person County",,,,27573,11391.0,35405.0,1539.0
Person County Farmers Market,"601 N. Madison Blvd. Roxboro, NC 27573 PERSON County",(336) 599-1195,,http://www.personcountyfarmersmarket.com,27573,11391.0,35405.0,1539.0
"Piedmont Farmers' Market, Inc.","518 Winecoff School Road Concord, NC 28027 Cabarrus County",(704) 208-0215,,http://www.facebook.com/piedmontfarmersmarket,28027,68716.0,76776.0,9239.0
Piedmont Triad Farmers Market,"2914 Sandy Ridge Road Colfax, NC 27235 Guilford County",(336) 605-9157,,http://www.triadfarmersmarket.com,27235,4443.0,95625.0,428.0
Pinehurst   Sandhills Farmers Green Market,"1 Village Green Road West Pinehurst, NC 28374 MOORE County |",,,http://sandhillsfarmersmarket.com,28374,17347.0,83408.0,925.0
Pittsboro Farmers Market,"Chatham County Fairgrounds Pittsboro, NC 27312 Chatham County",(919) 542-8202,(919) 542-6465,http://www.pittsborfarmersmarket.org,27312,20508.0,74698.0,2088.0
Plantation Point Farmers Market,"6250 Plantation Center Drive Raleigh , NC 27616 WAKE County",(760) 743-1795,,http://www.plantationpointfarmersmarket.com,27616,55128.0,70533.0,9144.0
Polk Tailgate Market,"Courthouse Street Columbus, NC 28722 Polk County",(828) 894-8550,,,28722,6537.0,46672.0,687.0
Poplar Grove Farmers Market,"10200 US Hwy 17 Wilmington, NC 28411 PENDER County",(910) 686-9518,,http://www.poplargrove.com,10200,,,
Produce & Play/Down East Partnership for Children,"215 Lexington Street Rocky Mount, NC 27802 EDGECOMBE County",(252) 985-4300,,http://www.depc.org,27802,,,
Raleigh Downtown Farmers Market,"400 Fayetteville Street (City Plaza) Raleigh, NC 27601 Wake County",(919) 821-6979,,http://www.raleigheatlocal.com,27601,10525.0,51281.0,3344.0
Red Barn Market,"Hwy 158 Murfreesboro, NC 27855 HERTFORD County |",,,http://www.redbarnmarketnc.com,27855,6066.0,37005.0,1449.0
"Richmond County Farmers Market, Inc.","PO Box 1358 Rockingham, NC 28380 Richmond County",,,,28380,,,
Riverfront Farmers Market,"116 Dock St. Wilmington, NC 28401 NEW HANOVER County |",,,http://www.riverfrontfarmersmarket.org,28401,24656.0,33741.0,4426.0
Roanoke Valley Farmers Market,"PO Box 37 Halifax, NC 27839 Halifax County",(252) 583-5161,,,27839,3479.0,31439.0,484.0
